state,income,education
Alabama,66659.0,29.9
Alaska,95665.0,32.8
Arizona,81486.0,34.7
Arkansas,62106.0,27.1
California,100149.0,38.1
Colorado,97113.0,47.8
Connecticut,96049.0,42.6
Delaware,87534.0,36.0
District of Columbia,109707.0,65.5
Florida,77735.0,35.8
Georgia,79991.0,36.3
Hawaii,100745.0,37.8
Idaho,81166.0,33.0
Illinois,83211.0,39.2
Indiana,71959.0,30.7
Iowa,75501.0,32.1
Kansas,75514.0,36.0
Kentucky,64526.0,27.9
Louisiana,60986.0,27.8
Maine,76442.0,37.1
Maryland,102905.0,44.7
Massachusetts,104828.0,48.3
Michigan,72389.0,33.3
Minnesota,87117.0,40.0
Mississippi,59127.0,27.0
Missouri,71589.0,33.5
Montana,75340.0,36.3
Nebraska,76376.0,35.4
Nevada,81134.0,28.5
New Hampshire,99782.0,41.5
New Jersey,104294.0,44.5
New Mexico,67816.0,31.8
New York,85820.0,41.2
North Carolina,73958.0,37.1
North Dakota,77871.0,34.0
Ohio,72212.0,32.4
Oklahoma,66148.0,29.3
Oregon,85220.0,37.8
Pennsylvania,77545.0,36.4
Rhode Island,83504.0,39.0
South Carolina,72350.0,33.3
South Dakota,76881.0,34.2
Tennessee,71997.0,32.4
Texas,79721.0,35.2
Utah,96658.0,39.1
Vermont,82730.0,45.1
Virginia,92090.0,43.3
Washington,99389.0,41.0
West Virginia,60798.0,24.4
Wisconsin,77488.0,34.6
Wyoming,75532.0,32.3
